Type	Label	Internal ID	Compact Display	Summary	Chronological Position	Narrative Position	Color	Parent	Ongoing	Start Date	Latest Start Date	Earliest End Date	End Date	Duration	Child Range	Tags	Blocked by	Blocks	Constraints	Links	Image (Links only)	Participant	Participant (Compact display)	Observer	Observer (Compact display)	Story Arc	Story Arc (Compact display)	Location	Location (Compact display)	Relates to	Relates to (Compact display)	Tension	Complete
"Event"	"Hayley begins investigating"	"EV136"	"Hayley begins investigating"		52		#9FA8DA		False	2370-05-30 12:06			2370-05-30 12:48	"42 minutes"		""	""	""	"Start is after end of Alexander Arrests Tony 0 seconds
Start is after end of Hayley challenges Alexander ab 0 seconds
End is before start of Hayley Investigates the Sticke -42 minutes"	""		"Hayley Lanning"	"Hayley Lanning"	""	""	"Stickett Inn Bombing
Hayley’s Investigations
Nightclub Vampire"	"Stickett Inn Bombing
Hayley’s Investigations
Nightclub Vampire"	""	""	""	""		
"Event"	"Hayley Investigates the Stickett Inn"	"EV32"	"Hayley Investigates the Sticke"		53		#9FA8DA		False	2370-05-30 13:30			2370-05-30 14:12	"42 minutes"		""	""	""	"End is before start of Hayley investigates Halo -42 minutes
Start is after end of Hayley begins investigating 42 minutes"	""		"Abe
Hayley Lanning
Major"	"Abe
Hayley Lanning
Major"	""	""	"Stickett Inn Bombing
Hayley’s Investigations"	"Stickett Inn Bombing
Hayley’s Investigations"	"Stickett Inn"	"Stickett Inn"	""	""		
"Event"	"Hayley investigates Halo"	"EV57"	"Hayley investigates Halo"		54		#9FA8DA		False	2370-05-30 14:54			2370-05-30 15:36	"42 minutes"		""	""	""	"End is before start of Hayley investigates the Memphi 0 seconds
Start is after end of Hayley Investigates the Sticke 42 minutes"	""		"Hayley Lanning"	"Hayley Lanning"	""	""	"Hayley’s Investigations
Nightclub Vampire"	"Hayley’s Investigations
Nightclub Vampire"	""	""	""	""		
"Event"	"Hayley investigates the Memphis Mafia Bar"	"EV244"	"Hayley investigates the Memphi"		55		#9FA8DA		False	2370-05-30 15:36			2370-05-30 15:42	"6 minutes"		""	""	""	"Start is after end of Hayley investigates Halo 0 seconds
End is before start of Hayley inspects Tony's apartme -42 minutes"	""		""	""	"Hayley Lanning"	"Hayley Lanning"	""	""	""	""	""	""		
"Event"	"Hayley inspects Tony's apartment"	"EV85"	"Hayley inspects Tony's apartme"		56		#9FA8DA		False	2370-05-30 16:24			2370-05-30 16:28:02	"4 minutes, 2 seconds"		""	""	""	"Start is after end of Hayley investigates the Memphi 42 minutes
Start is before start of Hayley inspects Sarah’s apartm -18 hours"	""		"Hayley Lanning"	"Hayley Lanning"	""	""	"Hayley’s Investigations"	"Hayley’s Investigations"	"Tony’s Apartment"	"Tony’s Apartment"	""	""		
"Event"	"Hayley inspects Sarah’s apartment"	"EV170"	"Hayley inspects Sarah’s apartm"		57		#9FA8DA		False	2370-05-31 10:24			2370-05-31 10:28:02	"4 minutes, 2 seconds"		""	""	""	"Start is after start of Hayley inspects Tony's apartme 18 hours
End is before start of Hayley inspects Halo's apartme -5 hours"	""		"Hayley Lanning"	"Hayley Lanning"	""	""	""	""	""	""	""	""		
"Event"	"Hayley inspects Halo's apartment"	"EV127"	"Hayley inspects Halo's apartme"		58		#9FA8DA		False	2370-05-31 15:28:02			2370-05-31 15:32:04	"4 minutes, 2 seconds"		""	""	""	"Start is after end of Hayley inspects Sarah’s apartm 5 hours
End is before start of Hayley investigates Enchanted  -42 minutes"	""		"Hayley Lanning
Jody"	"Hayley Lanning
Jody"	""	""	"Hayley’s Investigations
Nightclub Vampire"	"Hayley’s Investigations
Nightclub Vampire"	""	""	""	""		
"Event"	"Hayley investigates Enchanted Cleaning"	"EV105"	"Hayley investigates Enchanted "		59		#9FA8DA		False	2370-05-31 21:43			2370-05-31 22:25	"42 minutes"		""	""	""	"Start is after end of Hayley inspects Halo's apartme 42 minutes"	""		"Hayley Lanning"	"Hayley Lanning"	""	""	"Travis Teh’s Murder
Hayley’s Investigations"	"Travis Teh’s Murder
Hayley’s Investigations"	""	""	""	""		
"Event"	"Sarah learns a co-worker is getting credit for her work"	"EV225"	"Sarah learns a co-worker is ge"	"Hastings"	60		#9FA8DA		False	2370-06-03 11:21			2370-06-03 11:21	"0 seconds"		""	""	""	"End is before start of Sarah gets fired -7 days
Start is after end of Sarah’s boss orders her back t 8 days"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Kathy determines the lineage of Sarah's baby"	"EV96"	"Kathy determines the lineage o"		61		#9FA8DA		False	2370-06-08 09:36			2370-06-08 13:36	"4 hours"		""	""	""	"End is before start of Tony and the Elvi write a song -17 hours
Start is after start of The Sages impregnate Sarah 43 days, 4 hours"	""		"Dr Kathy Logan
Tony Chantara
Sarah Jacobson
Nancy"	"Dr Kathy Logan
Tony Chantara
Sarah Jacobson
Nancy"	""	""	"Holy Momma
Prophecy"	"Holy Momma
Prophecy"	""	""	""	""		
"Event"	"Tony and the Elvi write a song"	"EV17"	"Tony and the Elvi write a song"		62		#9FA8DA		False	2370-06-09 06:36:00			2370-06-09 06:51:00	"15 minutes"		""	""	""	"Start is after end of Kathy determines the lineage o 17 hours
End is before start of Alexander courts Sarah -1 days"	""		"Tony Chantara
Sarah Jacobson"	"Tony Chantara
Sarah Jacobson"	""	""	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	""	""	""	""		
"Event"	"Alexander courts Sarah"	"EV110"	"Alexander courts Sarah"		63		#9FA8DA		False	2370-06-10 06:51			2370-06-10 06:51	"0 seconds"		""	""	""	"End is before start of The sages call on the mansion 0 seconds
Start is after end of Tony and the Elvi write a song 1 day"	""		"Alexander Shakti
Sarah Jacobson"	"Alexander Shakti
Sarah Jacobson"	""	""	"Alexander loves Sarah"	"Alexander loves Sarah"	""	""	""	""		
"Event"	"The sages call on the mansion"	"EV33"	"The sages call on the mansion"		64		#9FA8DA		False	2370-06-10 06:51			2370-06-10 06:51	"0 seconds"		""	""	""	"Start is after end of Alexander courts Sarah 0 seconds
End is before start of Sarah considers abortion -10 hours"	""		"Dr Kathy Logan
Sarah Jacobson
Nancy
Chilo Damagetus
Solo Athena
Kleoboulos Windus"	"Dr Kathy Logan
Sarah Jacobson
Nancy
Chilo Damagetus
Solo Athena
Kleoboulos Windus"	""	""	"The Rise of the Elvi
Prophecy"	"The Rise of the Elvi
Prophecy"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Sarah gets fired"	"EV224"	"Sarah gets fired"		65		#9FA8DA		False	2370-06-10 11:21			2370-06-10 11:21	"0 seconds"		""	""	""	"Start is after end of Sarah learns a co-worker is ge 7 days"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Sarah considers abortion"	"EV86"	"Sarah considers abortion"		66		#9FA8DA		False	2370-06-10 16:51			2370-06-10 16:51	"0 seconds"		""	""	""	"Start is after end of The sages call on the mansion 10 hours
End is before start of The Elvi Interrupt Dinner 0 seconds"	""		"Dr Kathy Logan
Tony Chantara
Sarah Jacobson
Captain Denver A. Elvis"	"Dr Kathy Logan
Tony Chantara
Sarah Jacobson
Captain Denver A. Elvis"	""	""	"Holy Momma"	"Holy Momma"	"the Mansion"	"the Mansion"	""	""		
"Event"	"The Elvi Interrupt Dinner"	"EV117"	"The Elvi Interrupt Dinner"		67		#9FA8DA		False	2370-06-10 16:51			2370-06-10 16:51	"0 seconds"		""	""	""	"Start is after end of Sarah considers abortion 0 seconds
End is before start of Sarah has nightmares -4 hours"	""		"Tony Chantara
Sarah Jacobson
Captain Denver A. Elvis"	"Tony Chantara
Sarah Jacobson
Captain Denver A. Elvis"	""	""	"The Rise of the Elvi
Holy Momma"	"The Rise of the Elvi
Holy Momma"	""	""	""	""		
"Event"	"Johnny tests the discs"	"EV62"	"Johnny tests the discs"		68		#9FA8DA		False	2370-06-12 11:30			2370-06-12 19:30	"8 hours"		""	""	""	"Start is after end of Sarah turns over the Gyges Dis 2 weeks
End is before start of Johnny blows up a lab -2 weeks"	""		"John Stoat
Orion Contolan"	"John Stoat
Orion Contolan"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	""	""	""	""		
"Event"	"Johnny blows up a lab"	"EV70"	"Johnny blows up a lab"		69		#9FA8DA		False	2370-06-26 19:30			2370-06-28 19:30	"2 days"		""	""	""	"End is before start of Sarah has nightmares 0 seconds
End is before start of Eloise fires the Johnny 0 seconds
Start is after end of Johnny tests the discs 2 weeks
End is before start of Alexander lays siege to the ma -1 days"	""		"John Stoat"	"John Stoat"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	""	""	""	""		
"Event"	"Sarah has nightmares"	"EV95"	"Sarah has nightmares"		70		#9FA8DA		False	2370-06-28 19:30			2370-06-28 19:30	"0 seconds"		""	""	""	"Start is after end of The Elvi Interrupt Dinner 4 hours
Start is after end of Johnny blows up a lab 0 seconds
End is before start of Eloise fires the Johnny 0 seconds"	""		"Dr Kathy Logan
Sarah Jacobson"	"Dr Kathy Logan
Sarah Jacobson"	""	""	"Gyges Disc Research
Prophecy"	"Gyges Disc Research
Prophecy"	""	""	""	""		
"Event"	"Eloise fires the Johnny"	"EV108"	"Eloise fires the Johnny"		71		"Pink"		False	2370-06-28 19:30:00			2370-06-28 20:30:00	"1 hour"		""	""	""	"End is before start of Chilo assists Johnny with the  -18 hours
Start is after end of Johnny blows up a lab 0 seconds
Start is after end of Sarah has nightmares 0 seconds
End is before start of The Johnny meets with Hayley r -1 days
Start is before start of Johnny contacts Hayley -42 minutes"	""		"Eloise Shakti
John Stoat"	"Eloise Shakti
John Stoat"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	"Blue Suede Bar"	"Blue Suede Bar"	""	""		
"Event"	"Johnny contacts Hayley"	"EV245"	"Johnny contacts Hayley"		72		#9FA8DA		False	2370-06-28 20:12			2370-06-28 20:16:02	"4 minutes, 2 seconds"		""	""	""	"End is before start of The Johnny meets with Hayley r 0 seconds
Start is after start of Eloise fires the Johnny 42 minutes"	""		""	""	"John Stoat
Hayley Lanning"	"John Stoat
Hayley Lanning"	""	""	""	""	""	""		
"Event"	"Alexander lays siege to the mansion"	"EV101"	"Alexander lays siege to the ma"		73		#9FA8DA		False	2370-06-29 19:30:00			2370-06-29 19:30:00	"0 seconds"		""	""	""	"End is before start of Hayley confronts Alexander at  -30 minutes
Start is after end of Johnny blows up a lab 1 day"	""		"Stacy
Alexander Shakti
Eloise Shakti
Blake Mudrak
Macy
Haloren Smythe"	"Stacy
Alexander Shakti
Eloise Shakti
Blake Mudrak
Macy
Haloren Smythe"	""	""	"The Rise of the Elvi
Alexander loves Sarah"	"The Rise of the Elvi
Alexander loves Sarah"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Hayley questions Kathy"	"EV71"	"Hayley questions Kathy"		74		#9FA8DA		False	2370-06-29 20:00			2370-06-29 20:05	"5 minutes"		""	""	""	"End is before start of Ajent confronts Hayley 0 seconds
Start is after end of Hayley confronts Alexander at  0 seconds"	""		"Dr Kathy Logan
Hayley Lanning"	"Dr Kathy Logan
Hayley Lanning"	""	""	"The Rise of the Elvi
Holy Momma
Hayley’s Investigations"	"The Rise of the Elvi
Holy Momma
Hayley’s Investigations"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Hayley confronts Alexander at the siege"	"EV14"	"Hayley confronts Alexander at "		75		#9FA8DA		False	2370-06-29 20:00			2370-06-29 20:00	"0 seconds"		""	""	""	"Start is after end of Alexander lays siege to the ma 30 minutes
End is before start of Hayley questions Kathy 0 seconds"	""		"Alexander Shakti
Hayley Lanning"	"Alexander Shakti
Hayley Lanning"	""	""	"Alexander loves Sarah
Hayley’s Investigations"	"Alexander loves Sarah
Hayley’s Investigations"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Ajent confronts Hayley"	"EV134"	"Ajent confronts Hayley"		76		#9FA8DA		False	2370-06-29 20:05			2370-06-29 20:20	"15 minutes"		""	""	""	"Start is after end of Hayley questions Kathy 0 seconds
Start is before start of Hayley interviews Tony 0 seconds
End is before start of Ajent hones in on Gerry 0 seconds"	""		"Alexander Shakti
Tony Chantara
Hayley Lanning
Special Agent Ajent Jones"	"Alexander Shakti
Tony Chantara
Hayley Lanning
Special Agent Ajent Jones"	""	""	"Agent Jones wants the Gyges Disc
Hayley’s Investigations"	"Agent Jones wants the Gyges Di
Hayley’s Investigations"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Eloise proposes to Sarah"	"EV18"	"Eloise proposes to Sarah"		77		#9FA8DA		False	2370-06-29 20:05			2370-06-29 20:25	"20 minutes"		""	""	""	"Start is after start of Hayley interviews Tony 0 seconds
End is before start of Eloise 'rescues' Sarah from th 0 seconds"	""		"Dr Kathy Logan
Alexander Shakti
Sarah Jacobson
Eloise Shakti"	"Dr Kathy Logan
Alexander Shakti
Sarah Jacobson
Eloise Shakti"	""	""	"Eloise wants to retire"	"Eloise wants to retire"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Hayley interviews Tony"	"EV45"	"Hayley interviews Tony"		78		#9FA8DA		False	2370-06-29 20:05			2370-06-29 20:25	"20 minutes"		""	""	""	"Start is after start of Ajent confronts Hayley 0 seconds
Start is before start of Eloise proposes to Sarah 0 seconds"	""		"Alexander Shakti
Tony Chantara
Hayley Lanning"	"Alexander Shakti
Tony Chantara
Hayley Lanning"	""	""	"Alexander loves Sarah
Hayley’s Investigations"	"Alexander loves Sarah
Hayley’s Investigations"	"the Mansion"	"the Mansion"	""	""		
"Event"	"Ajent hones in on Gerry"	"EV55"	"Ajent hones in on Gerry"		79		"Purple"		False	2370-06-29 20:20			2370-06-29 21:02	"42 minutes"		""	""	""	"End is before start of Gerry acquires the TMinusVirus 0 seconds
End is before start of Ajent infiltrates the digging  0 seconds
Start is after end of Ajent confronts Hayley 0 seconds
Start is after end of Gerry proposes a solution to t 0 seconds"	""		"Special Agent Ajent Jones"	"Special Agent Ajent Jones"	""	""	"Gerry’s Rise"	"Gerry’s Rise"	""	""	""	""		
"Event"	"Eloise 'rescues' Sarah from the Elvi"	"EV48"	"Eloise 'rescues' Sarah from th"		80		#9FA8DA		False	2370-06-29 20:25			2370-06-29 20:25	"0 seconds"		""	""	""	"Start is after end of Eloise proposes to Sarah 0 seconds
End is before start of Eloise takes Sarah to Sublime  0 seconds
End is before start of Let your Momma go -6 days"	""		"Dr Kathy Logan
Alexander Shakti
Tony Chantara
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	"Dr Kathy Logan
Alexander Shakti
Tony Chantara
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	""	""	"Eloise wants to retire
The Rise of the Elvi"	"Eloise wants to retire
The Rise of the Elvi"	""	""	""	""		
"Event"	"The Johnny meets with Hayley re the Memphis Mafia Bar"	"EV107"	"The Johnny meets with Hayley r"		81		#9FA8DA		False	2370-06-29 20:30			2370-06-29 20:36	"6 minutes"		""	""	""	"Start is after end of Eloise fires the Johnny 1 day
Start is after end of Johnny contacts Hayley 0 seconds"	""		"John Stoat
Hayley Lanning"	"John Stoat
Hayley Lanning"	""	""	"Hayley’s Investigations"	"Hayley’s Investigations"	""	""	""	""		
"Event"	"Eloise takes Sarah to Sublime Point"	"EV40"	"Eloise takes Sarah to Sublime "		82		"Purple"		False	2370-06-29 22:01			2370-06-30 00:01	"2 hours"		""	""	""	"Start is after end of Eloise 'rescues' Sarah from th 0 seconds
End is before start of Sarah & Eloise Talk -14 hours
End is before start of Sarah's first night at Sublime -5 hours
Start is before start of Sarah's first night at Sublime 0 seconds"	""		"Dr Kathy Logan
Alexander Shakti
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	"Dr Kathy Logan
Alexander Shakti
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	""	""	"Eloise wants to retire"	"Eloise wants to retire"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Sarah's first night at Sublime Point"	"EV82"	"Sarah's first night at Sublime"		83		"Pink"		False	2370-06-30 05:01			2370-06-30 11:31	"6 hours, 30 minutes"		""	""	""	"Start is after end of Eloise takes Sarah to Sublime  5 hours
Start is after start of Eloise takes Sarah to Sublime  0 seconds
End is before start of Kleo visits Sarah -1 hours
End is before start of Sarah tells Kathy she's in the -25 hours
End is before start of Sarah & Eloise Talk 0 seconds"	""		"Dr Kathy Logan
Sarah Jacobson"	"Dr Kathy Logan
Sarah Jacobson"	""	""	"Sarah & Tony"	"Sarah & Tony"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Sarah & Eloise Talk"	"EV69"	"Sarah & Eloise Talk"		84		#9FA8DA		False	2370-06-30 14:01			2370-06-30 15:11	"1 hour, 10 minutes"		""	""	""	"Start is after end of Eloise takes Sarah to Sublime  14 hours
Start is after end of Sarah's first night at Sublime 0 seconds
End is before start of Hayley finally interviews Sara 0 seconds"	""		"Dr Kathy Logan
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	"Dr Kathy Logan
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	""	""	"Eloise wants to retire"	"Eloise wants to retire"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Hayley finally interviews Sarah"	"EV1"	"Hayley finally interviews Sara"		85		#9FA8DA		False	2370-06-30 15:11			2370-06-30 15:11	"0 seconds"		""	""	""	"Start is after end of Sarah & Eloise Talk 0 seconds
End is before start of Kathy is suspicious of stasis  -4 hours"	""		"Dr Kathy Logan
Sarah Jacobson
Hayley Lanning"	"Dr Kathy Logan
Sarah Jacobson
Hayley Lanning"	""	""	"Gyges Disc Research
Hayley’s Investigations"	"Gyges Disc Research
Hayley’s Investigations"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Kathy is suspicious of stasis fridges"	"EV23"	"Kathy is suspicious of stasis "		86		#9FA8DA		False	2370-06-30 19:11			2370-06-30 19:41	"30 minutes"		""	""	""	"Start is after end of Hayley finally interviews Sara 4 hours
End is before start of Hayley tries to break open a f 0 seconds"	""		"Dr Kathy Logan
Sarah Jacobson
Hayley Lanning"	"Dr Kathy Logan
Sarah Jacobson
Hayley Lanning"	""	""	"Gyges Disc Research
Three Sisters"	"Gyges Disc Research
Three Sisters"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Sarah tells Kathy she's in the wrong bed"	"EV28"	"Sarah tells Kathy she's in the"		87		#9FA8DA		False	2370-07-01 12:31			2370-07-01 12:31	"0 seconds"		""	""	""	"Start is after end of Sarah's first night at Sublime 25 hours
End is before start of Hayley tries to break open a f -1 hours"	""		"Dr Kathy Logan
Sarah Jacobson"	"Dr Kathy Logan
Sarah Jacobson"	""	""	"Three Sisters"	"Three Sisters"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Hayley tries to break open a fridge"	"EV60"	"Hayley tries to break open a f"		88		#9FA8DA		False	2370-07-01 13:31			2370-07-01 13:31	"0 seconds"		""	""	""	"Start is after end of Sarah tells Kathy she's in the 1 hour
End is before start of The Three Sisters are Locked U -7 hours
Start is after end of Kathy is suspicious of stasis  0 seconds"	""		"Hayley Lanning"	"Hayley Lanning"	""	""	"Gyges Disc Research
Three Sisters"	"Gyges Disc Research
Three Sisters"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"The Three Sisters are Locked Up"	"EV41"	"The Three Sisters are Locked U"		89		#9FA8DA		False	2370-07-01 20:31			2370-07-02 04:01	"7 hours, 30 minutes"		""	""	""	"Start is after end of Hayley tries to break open a f 7 hours
End is before start of Eloise and Sarah negotiate -10 minutes"	""		"Dr Kathy Logan
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	"Dr Kathy Logan
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	""	""	"Three Sisters"	"Three Sisters"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Eloise and Sarah negotiate"	"EV140"	"Eloise and Sarah negotiate"		90		"Pink"		False	2370-07-02 04:11			2370-07-02 04:41	"30 minutes"		""	""	""	"Start is after end of The Three Sisters are Locked U 10 minutes
End is before start of Sarah rehires Johnny -18 hours
End is before start of Hayley Interviews Chip -19 hours
End is before start of The Inauguration of the High E 0 seconds"	""		"Dr Kathy Logan
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	"Dr Kathy Logan
Sarah Jacobson
Eloise Shakti
Hayley Lanning"	""	""	"Gyges Disc Research
Three Sisters
Eloise wants to retire"	"Gyges Disc Research
Three Sisters
Eloise wants to retire"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Hayley Interviews Chip"	"EV16"	"Hayley Interviews Chip"		91		#9FA8DA		False	2370-07-02 23:41			2370-07-02 23:41	"0 seconds"		""	""	""	"Start is after end of Eloise and Sarah negotiate 19 hours
End is before start of Eloise hires Chip -2 days, -2 hours
Start is after end of Chip investigates a stasis ano 0 seconds"	""		"Chip Stockwell
Hayley Lanning"	"Chip Stockwell
Hayley Lanning"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	""	""	""	""		
"Event"	"Let your Momma go"	"EV103"	"Let your Momma go"		92		#9FA8DA		False	2370-07-05 20:25			2370-07-05 21:07	"42 minutes"		""	""	""	"End is before start of The Elvi relocate Chanta 0 seconds
Start is after end of Eloise 'rescues' Sarah from th 6 days"	""		"Alexander Shakti
Tony Chantara"	"Alexander Shakti
Tony Chantara"	""	""	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"the Mansion"	"the Mansion"	""	""		
"Event"	"The Elvi relocate Chanta"	"EV59"	"The Elvi relocate Chanta"		93		#9FA8DA		False	2370-07-05 21:07			2370-07-05 21:07:42	"42 seconds"		""	""	""	"Start is after end of Let your Momma go 0 seconds
End is before start of Solo visits Tony -6 days"	""		"Tony Chantara
The High Elvis"	"Tony Chantara
The High Elvis"	""	""	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"Great Teacher
The Rise of the Elvi
TPlus viral transmission"	"American Sound Studios"	"American Sound Studios"	""	""		
"Event"	"Gerry plans opening the final lab"	"EV2"	"Gerry plans opening the final "		94		#9FA8DA		False	2370-07-07 07:33			2370-07-07 08:15	"42 minutes"		""	""	""	"End is before start of Gerry acquires the bomb site -2 days
Start is after end of Gerry starts opening labs -2 months"	""		"Gerald “Very” Hardman"	"Gerald “Very” Hardman"	""	""	"Gerry’s Rise
Gerry’s Virus"	"Gerry’s Rise
Gerry’s Virus"	""	""	""	""		
"Event"	"Gerry acquires the bomb site"	"EV52"	"Gerry acquires the bomb site"		95		#9FA8DA		False	2370-07-09 08:15			2370-07-11 08:15	"2 days"		""	""	""	"Start is after end of Gerry plans opening the final  2 days
End is before start of Gerry acquires the TMinusVirus -28 days
End is before start of Ajent infiltrates the digging  0 seconds"	""		"Gerald “Very” Hardman
Ahmed Siddig
Special Agent Ajent Jones"	"Gerald “Very” Hardman
Ahmed Siddig
Special Agent Ajent Jones"	""	""	"Gerry’s Rise
Gerry’s Virus"	"Gerry’s Rise
Gerry’s Virus"	""	""	""	""		
"Event"	"Ajent infiltrates the digging mission"	"EV227"	"Ajent infiltrates the digging "		96		#9FA8DA		False	2370-07-11 08:15			2370-07-11 08:19:02	"4 minutes, 2 seconds"		""	""	""	"Start is after end of Gerry acquires the bomb site 0 seconds
Start is after end of Ajent hones in on Gerry 0 seconds
End is before start of Gerry acquires the TMinusVirus 0 seconds"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Solo visits Tony"	"EV112"	"Solo visits Tony"		97		#9FA8DA		False	2370-07-11 21:07:42			2370-07-11 21:11:44	"4 minutes, 2 seconds"		""	""	""	"Start equals start of Kleo visits Sarah 0 seconds
Start is after end of The Elvi relocate Chanta 6 days
End is before start of Tony & the Elvisettes -3 days"	""		"Tony Chantara
Solo Athena"	"Tony Chantara
Solo Athena"	""	""	"Great Teacher
Prophecy"	"Great Teacher
Prophecy"	"American Sound Studios"	"American Sound Studios"	""	""		
"Event"	"Kleo visits Sarah"	"EV111"	"Kleo visits Sarah"		98		#9FA8DA		False	2370-07-11 21:07:42			2370-07-11 21:07:42	"0 seconds"		""	""	""	"Start is after end of Sarah's first night at Sublime 1 hour
Start equals start of Solo visits Tony 0 seconds
End is before start of Chilo assists Johnny with the  -12 hours"	""		"Sarah Jacobson
Kleoboulos Windus"	"Sarah Jacobson
Kleoboulos Windus"	""	""	"Prophecy"	"Prophecy"	"Sublime Point"	"Sublime Point"	""	""		
"Event"	"Chilo assists Johnny with the research"	"EV146"	"Chilo assists Johnny with the "		99		#9FA8DA		False	2370-07-12 09:07:42			2370-07-12 09:49:42	"42 minutes"		""	""	""	"Start is after end of Eloise fires the Johnny 18 hours
Start is after end of Kleo visits Sarah 12 hours
End is before start of Sarah rehires Johnny -48 hours"	""		"Chilo Damagetus
John Stoat"	"Chilo Damagetus
John Stoat"	""	""	"Gyges Disc Research
Prophecy"	"Gyges Disc Research
Prophecy"	""	""	""	""		
"Event"	"Sarah rehires Johnny"	"EV61"	"Sarah rehires Johnny"		100		"Purple"		False	2370-07-14 09:49:42			2370-07-14 09:49:42	"0 seconds"		""	""	""	"Start is after end of Eloise and Sarah negotiate 18 hours
Start equals start of Kathy fetches the Sages 0 seconds
Start is after end of Chilo assists Johnny with the  48 hours
Start is before start of Eloise hires Chip 0 seconds"	""		"Sarah Jacobson
Eloise Shakti
John Stoat"	"Sarah Jacobson
Eloise Shakti
John Stoat"	""	""	"Gyges Disc Research
Eloise wants to retire"	"Gyges Disc Research
Eloise wants to retire"	"Shakti Tower"	"Shakti Tower"	""	""		
"Event"	"Kathy fetches the Sages"	"EV3"	"Kathy fetches the Sages"		101		#9FA8DA		False	2370-07-14 09:49:42			2370-07-14 17:49:42	"8 hours"		""	""	""	"Start equals start of Sarah rehires Johnny 0 seconds"	""		"Dr Kathy Logan
Eloise Shakti
Chilo Damagetus
The High Elvis
Solo Athena
Kleoboulos Windus"	"Dr Kathy Logan
Eloise Shakti
Chilo Damagetus
The High Elvis
Solo Athena
Kleoboulos Windus"	""	""	"Gyges Disc Research
The Rise of the Elvi
Prophecy"	"Gyges Disc Research
The Rise of the Elvi
Prophecy"	"The Travelator"	"The Travelator"	""	""		
"Event"	"Eloise hires Chip"	"EV114"	"Eloise hires Chip"		102		#9FA8DA		False	2370-07-14 09:49:42			2370-07-14 09:49:42	"0 seconds"		""	""	""	"Start is after end of Hayley Interviews Chip 2 days, 2 hours
Start is after start of Sarah rehires Johnny 0 seconds
End is before start of The Chuglinghams Hold a BBQ 0 seconds"	""		"Chip Stockwell
Eloise Shakti
Hayley Lanning
Padmala Chuglingham"	"Chip Stockwell
Eloise Shakti
Hayley Lanning
Padmala Chuglingham"	""	""	"Gyges Disc Research
Eloise wants to retire"	"Gyges Disc Research
Eloise wants to retire"	"Gravity Well Restaurant"	"Gravity Well Restaurant"	""	""		
"Event"	"Tony & the Elvisettes"	"EV248"	"Tony & the Elvisettes"		103		#9FA8DA		False	2370-07-14 22:47:44			2370-07-14 23:29:44	"42 minutes"		""	""	""	"Start is after end of Solo visits Tony 3 days
End is before start of Recording is not going well -42 minutes"	""		""	""	"Tony Chantara"	"Tony Chantara"	"TPlus viral transmission"	"TPlus viral transmission"	""	""	""	""		
"Event"	"Recording is not going well"	"EV247"	"Recording is not going well"		104		#9FA8DA		False	2370-07-15 00:11:44			2370-07-15 00:53:44	"42 minutes"		""	""	""	"End is before start of Tony & the Elvi research the D 0 seconds
Start is after end of Tony & the Elvisettes 42 minutes"	""		"Tony Chantara"	"Tony Chantara"	""	""	""	""	""	""	""	""		
